beta,p_center
0,0.142887732
0.001,0.144747365
0.00112645,0.145985079
0.0012689,0.146321823
0.00142935,0.142648758
0.0016101,0.144110113
0.00181371,0.146435820
0.00204306,0.146528543
0.00230141,0.145060761
0.00259243,0.144815827
0.00292025,0.150016823
0.00328953,0.152276861
0.0037055,0.146943747
0.00417407,0.155142268
0.0047019,0.157785434
0.00529647,0.159602387
0.00596623,0.152470973
0.00672069,0.157476439
0.00757054,0.166712216
0.00852786,0.172851225
0.00960624,0.169026354
0.01,0.169384137
0.010821,0.171408590
0.0121153,0.177246209
0.0121893,0.172228246
0.0137307,0.182064707
0.014678,0.175766087
0.015467,0.173205165
0.0174229,0.179291531
0.0177828,0.184427373
0.0196261,0.182656969
0.0215443,0.183134482
0.0221079,0.191699330
0.0249035,0.190955693
0.0261016,0.233790057
0.0280526,0.196387001
0.0316228,0.211719588
0.0383119,0.223706788
0.0464159,0.219133797
0.0562341,0.220742672
0.0681292,0.243845893
0.0825404,0.275128821
0.1,0.293051447
0.121153,0.302206360
0.14678,0.295585064
0.177828,0.298972240
0.215443,0.308325472
0.261016,0.324394816
0.316228,0.329028073
0.383119,0.327336371
0.464159,0.406773532
0.562341,0.404881700
0.681292,0.409738078
0.825404,0.389523764
1,0.425323502
